X Y Z mgl vp cluster_5 cluster_6 cluster_6homog cluster_7
164167.437500 2322038.000000 22.561769 276.365173 534.989380 1.000000 1.000000 2.000000 1.000000
164167.343750 2322038.750000 22.561769 274.655487 533.985352 1.000000 1.000000 2.000000 1.000000
164167.265625 2322039.250000 22.561769 272.846130 536.298462 1.000000 1.000000 2.000000 1.000000
164166.984375 2322041.750000 22.561769 271.999298 515.677307 1.000000 1.000000 2.000000 1.000000
164167.187500 2322039.750000 22.561769 267.597137 536.314148 1.000000 1.000000 2.000000 1.000000
164166.531250 2322045.250000 22.561769 266.142212 491.816864 1.000000 1.000000 2.000000 1.000000
164167.046875 2322041.000000 22.561769 263.983032 520.170044 1.000000 1.000000 2.000000 1.000000
164167.125000 2322040.500000 22.561769 253.883224 529.106750 1.000000 1.000000 2.000000 1.000000
164165.250000 2322053.750000 21.955694 384.336731 411.634827 1.000000 1.000000 2.000000 1.000000
164165.343750 2322053.000000 21.955694 383.703827 418.828857 1.000000 1.000000 2.000000 1.000000
164165.156250 2322054.250000 21.955694 382.948425 404.913452 1.000000 1.000000 2.000000 1.000000
164165.453125 2322052.500000 21.955694 380.252441 416.752289 1.000000 1.000000 2.000000 1.000000
164165.546875 2322051.750000 21.955694 376.801086 413.374542 1.000000 1.000000 2.000000 1.000000
164165.656250 2322051.250000 21.955694 373.349701 417.947296 1.000000 1.000000 2.000000 1.000000
164165.750000 2322050.500000 21.955694 369.898346 432.766205 1.000000 1.000000 2.000000 1.000000
164165.843750 2322050.000000 21.955694 366.446960 448.159637 1.000000 1.000000 2.000000 1.000000
164165.062500 2322055.000000 21.955694 364.402496 408.736450 1.000000 1.000000 2.000000 1.000000
164165.953125 2322049.500000 21.955694 362.995605 454.740753 1.000000 1.000000 2.000000 1.000000
164166.046875 2322048.750000 21.955694 359.811676 458.069183 1.000000 1.000000 2.000000 1.000000
164166.125000 2322048.250000 21.955694 357.237091 470.169495 1.000000 1.000000 2.000000 1.000000
164166.203125 2322047.500000 21.955694 354.662506 492.906189 1.000000 1.000000 2.000000 1.000000
164166.281250 2322047.000000 21.955694 352.087921 514.396484 1.000000 1.000000 2.000000 1.000000
164166.359375 2322046.500000 21.955694 349.513336 523.130676 1.000000 1.000000 2.000000 1.000000
164166.437500 2322045.750000 21.955694 346.938751 524.382812 1.000000 1.000000 2.000000 1.000000
164166.531250 2322045.250000 21.955694 344.364166 531.821228 1.000000 1.000000 2.000000 1.000000
164166.609375 2322044.750000 21.955694 341.789581 550.294678 1.000000 1.000000 2.000000 1.000000
164166.687500 2322044.250000 21.955694 339.237000 567.723999 1.000000 1.000000 2.000000 1.000000
164166.765625 2322043.500000 21.955694 337.104218 574.213989 1.000000 1.000000 2.000000 1.000000
164166.828125 2322043.000000 21.955694 334.971466 576.759705 1.000000 1.000000 2.000000 1.000000
164167.765625 2322035.750000 21.955694 321.775482 653.751221 1.000000 1.000000 2.000000 1.000000
164167.687500 2322036.250000 21.955694 313.540253 647.518188 1.000000 1.000000 2.000000 1.000000
164167.593750 2322036.750000 21.955694 305.305023 641.230530 1.000000 1.000000 2.000000 1.000000
164166.906250 2322042.250000 21.955694 299.259369 584.775330 1.000000 1.000000 2.000000 1.000000
164167.515625 2322037.500000 21.955694 297.069824 636.105164 1.000000 1.000000 2.000000 1.000000
164168.015625 2322034.000000 21.955694 290.120239 693.152466 1.000000 1.000000 2.000000 1.000000
164167.937500 2322034.500000 21.955694 289.976776 677.532471 1.000000 1.000000 2.000000 1.000000
164168.109375 2322033.250000 21.955694 289.574982 708.840332 1.000000 1.000000 2.000000 1.000000
164168.187500 2322032.750000 21.955694 289.029694 723.938232 1.000000 1.000000 2.000000 1.000000
164167.843750 2322035.000000 21.955694 289.027435 663.403015 1.000000 1.000000 2.000000 1.000000
164167.437500 2322038.000000 21.955694 288.834595 631.940674 1.000000 1.000000 2.000000 1.000000
164168.281250 2322032.000000 21.955694 288.484436 739.259583 1.000000 1.000000 2.000000 1.000000
164168.359375 2322031.500000 21.955694 287.939148 756.637756 1.000000 1.000000 2.000000 1.000000
164168.437500 2322031.000000 21.955694 287.393890 776.800110 1.000000 1.000000 2.000000 1.000000
164167.343750 2322038.750000 21.955694 287.124908 627.089050 1.000000 1.000000 2.000000 1.000000
164168.531250 2322030.250000 21.955694 286.848602 797.455139 1.000000 1.000000 2.000000 1.000000
